============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_mlp_h2048_e200_20260202_172005.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: MLP | Params: 12,244,042

Ep 1/200 | Loss: 0.3871 | Test Loss: 0.2229 | Train: 88.1% | Test: 92.3% | Best: 92.3%
Ep 23/200 | Loss: 0.0060 | Test Loss: 0.0379 | Train: 99.8% | Test: 98.8% | Best: 98.9%
Ep 24/200 | Loss: 0.0064 | Test Loss: 0.0421 | Train: 99.8% | Test: 98.8% | Best: 98.9%
Ep 25/200 | Loss: 0.0054 | Test Loss: 0.0336 | Train: 99.8% | Test: 99.0% | Best: 99.0%
Ep 26/200 | Loss: 0.0053 | Test Loss: 0.0366 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 27/200 | Loss: 0.0042 | Test Loss: 0.0384 | Train: 99.9% | Test: 98.9% | Best: 99.0%
Ep 28/200 | Loss: 0.0052 | Test Loss: 0.0335 | Train: 99.9% | Test: 99.0% | Best: 99.0%
Ep 29/200 | Loss: 0.0055 | Test Loss: 0.0350 | Train: 99.8% | Test: 98.9% | Best: 99.0%
Ep 30/200 | Loss: 0.0054 | Test Loss: 0.0377 | Train: 99.8% | Test: 98.8% | Best: 99.0%
Ep 31/200 | Loss: 0.0050 | Test Loss: 0.0392 | Train: 99.9% | Test: 98.8% | Best: 99.0%
Ep 32/200 | Loss: 0.0058 | Test Loss: 0.0558 | Train: 99.8% | Test: 98.3% | Best: 99.0%
Ep 33/200 | Loss: 0.0050 | Test Loss: 0.0421 | Train: 99.9% | Test: 98.8% | Best: 99.0%
Ep 34/200 | Loss: 0.0047 | Test Loss: 0.0440 | Train: 99.9% | Test: 98.7% | Best: 99.0%
Ep 35/200 | Loss: 0.0045 | Test Loss: 0.0344 | Train: 99.9% | Test: 98.9% | Best: 99.0%
Ep 36/200 | Loss: 0.0047 | Test Loss: 0.0295 | Train: 99.9% | Test: 99.1% | Best: 99.1%
Ep 37/200 | Loss: 0.0044 | Test Loss: 0.0399 | Train: 99.9% | Test: 98.9% | Best: 99.1%
Ep 38/200 | Loss: 0.0043 | Test Loss: 0.0372 | Train: 99.9% | Test: 98.8% | Best: 99.1%
Ep 39/200 | Loss: 0.0055 | Test Loss: 0.0412 | Train: 99.8% | Test: 98.7% | Best: 99.1%
Ep 40/200 | Loss: 0.0041 | Test Loss: 0.0305 | Train: 99.9% | Test: 99.0% | Best: 99.1%
Ep 41/200 | Loss: 0.0037 | Test Loss: 0.0463 | Train: 99.9% | Test: 98.6% | Best: 99.1%
Ep 42/200 | Loss: 0.0042 | Test Loss: 0.0332 | Train: 99.9% | Test: 99.1% | Best: 99.1%
Ep 43/200 | Loss: 0.0048 | Test Loss: 0.0582 | Train: 99.9% | Test: 98.4% | Best: 99.1%
Ep 44/200 | Loss: 0.0041 | Test Loss: 0.0350 | Train: 99.9% | Test: 99.0% | Best: 99.1%
Ep 45/200 | Loss: 0.0036 | Test Loss: 0.0298 | Train: 99.9% | Test: 99.2% | Best: 99.2%
Ep 46/200 | Loss: 0.0040 | Test Loss: 0.0332 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 47/200 | Loss: 0.0037 | Test Loss: 0.0310 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 48/200 | Loss: 0.0037 | Test Loss: 0.0264 | Train: 99.9% | Test: 99.2% | Best: 99.2%
Ep 49/200 | Loss: 0.0048 | Test Loss: 0.0326 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 50/200 | Loss: 0.0047 | Test Loss: 0.0296 | Train: 99.9% | Test: 99.1% | Best: 99.2%
Ep 51/200 | Loss: 0.0043 | Test Loss: 0.0333 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 52/200 | Loss: 0.0048 | Test Loss: 0.0452 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 53/200 | Loss: 0.0047 | Test Loss: 0.0251 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 54/200 | Loss: 0.0036 | Test Loss: 0.0375 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 55/200 | Loss: 0.0035 | Test Loss: 0.0344 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 56/200 | Loss: 0.0034 | Test Loss: 0.0359 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 57/200 | Loss: 0.0046 | Test Loss: 0.0310 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 58/200 | Loss: 0.0042 | Test Loss: 0.0302 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 59/200 | Loss: 0.0032 | Test Loss: 0.0328 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 60/200 | Loss: 0.0047 | Test Loss: 0.0264 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 61/200 | Loss: 0.0041 | Test Loss: 0.0330 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 62/200 | Loss: 0.0040 | Test Loss: 0.0465 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 63/200 | Loss: 0.0058 | Test Loss: 0.0400 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 64/200 | Loss: 0.0054 | Test Loss: 0.0337 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 65/200 | Loss: 0.0041 | Test Loss: 0.0357 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 66/200 | Loss: 0.0039 | Test Loss: 0.0288 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 67/200 | Loss: 0.0045 | Test Loss: 0.0237 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 68/200 | Loss: 0.0057 | Test Loss: 0.0305 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 69/200 | Loss: 0.0055 | Test Loss: 0.0501 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 70/200 | Loss: 0.0049 | Test Loss: 0.0377 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 71/200 | Loss: 0.0055 | Test Loss: 0.0360 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 72/200 | Loss: 0.0048 | Test Loss: 0.0282 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 73/200 | Loss: 0.0049 | Test Loss: 0.0326 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 74/200 | Loss: 0.0056 | Test Loss: 0.0317 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 75/200 | Loss: 0.0049 | Test Loss: 0.0472 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 76/200 | Loss: 0.0058 | Test Loss: 0.0306 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 77/200 | Loss: 0.0058 | Test Loss: 0.0302 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 78/200 | Loss: 0.0056 | Test Loss: 0.0334 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 79/200 | Loss: 0.0049 | Test Loss: 0.0419 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 80/200 | Loss: 0.0052 | Test Loss: 0.0335 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 81/200 | Loss: 0.0057 | Test Loss: 0.0436 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 82/200 | Loss: 0.0049 | Test Loss: 0.0539 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 83/200 | Loss: 0.0058 | Test Loss: 0.0351 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 84/200 | Loss: 0.0046 | Test Loss: 0.0345 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 85/200 | Loss: 0.0055 | Test Loss: 0.0350 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 86/200 | Loss: 0.0060 | Test Loss: 0.0465 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 87/200 | Loss: 0.0057 | Test Loss: 0.0366 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 88/200 | Loss: 0.0045 | Test Loss: 0.0518 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 89/200 | Loss: 0.0053 | Test Loss: 0.0336 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 90/200 | Loss: 0.0063 | Test Loss: 0.0295 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 91/200 | Loss: 0.0051 | Test Loss: 0.0365 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 92/200 | Loss: 0.0060 | Test Loss: 0.0287 | Train: 99.8% | Test: 99.3% | Best: 99.3%
Ep 93/200 | Loss: 0.0052 | Test Loss: 0.0412 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 94/200 | Loss: 0.0053 | Test Loss: 0.0378 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 95/200 | Loss: 0.0043 | Test Loss: 0.0423 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 96/200 | Loss: 0.0053 | Test Loss: 0.0263 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 97/200 | Loss: 0.0048 | Test Loss: 0.0399 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 98/200 | Loss: 0.0051 | Test Loss: 0.0506 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 99/200 | Loss: 0.0060 | Test Loss: 0.0378 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 100/200 | Loss: 0.0056 | Test Loss: 0.0553 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 101/200 | Loss: 0.0078 | Test Loss: 0.0525 | Train: 99.8% | Test: 98.5% | Best: 99.3%
Ep 102/200 | Loss: 0.0070 | Test Loss: 0.0552 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 103/200 | Loss: 0.0061 | Test Loss: 0.0365 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 104/200 | Loss: 0.0064 | Test Loss: 0.0562 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 105/200 | Loss: 0.0059 | Test Loss: 0.0451 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 106/200 | Loss: 0.0051 | Test Loss: 0.0392 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 107/200 | Loss: 0.0051 | Test Loss: 0.0399 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 108/200 | Loss: 0.0048 | Test Loss: 0.0528 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 109/200 | Loss: 0.0060 | Test Loss: 0.0297 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 110/200 | Loss: 0.0058 | Test Loss: 0.0370 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 111/200 | Loss: 0.0056 | Test Loss: 0.0355 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 112/200 | Loss: 0.0057 | Test Loss: 0.0387 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 113/200 | Loss: 0.0050 | Test Loss: 0.0436 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 114/200 | Loss: 0.0056 | Test Loss: 0.0531 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 115/200 | Loss: 0.0077 | Test Loss: 0.0380 | Train: 99.8% | Test: 99.0% | Best: 99.3%
Ep 116/200 | Loss: 0.0057 | Test Loss: 0.0649 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 117/200 | Loss: 0.0061 | Test Loss: 0.0365 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 118/200 | Loss: 0.0058 | Test Loss: 0.0422 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 119/200 | Loss: 0.0054 | Test Loss: 0.0399 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 120/200 | Loss: 0.0068 | Test Loss: 0.0414 | Train: 99.8% | Test: 98.9% | Best: 99.3%
Ep 121/200 | Loss: 0.0055 | Test Loss: 0.0462 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 122/200 | Loss: 0.0056 | Test Loss: 0.0325 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 123/200 | Loss: 0.0063 | Test Loss: 0.0622 | Train: 99.8% | Test: 98.4% | Best: 99.3%
Ep 124/200 | Loss: 0.0057 | Test Loss: 0.0364 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 125/200 | Loss: 0.0061 | Test Loss: 0.0389 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 126/200 | Loss: 0.0056 | Test Loss: 0.0447 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 127/200 | Loss: 0.0064 | Test Loss: 0.0677 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 128/200 | Loss: 0.0055 | Test Loss: 0.0395 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 129/200 | Loss: 0.0064 | Test Loss: 0.0424 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 130/200 | Loss: 0.0052 | Test Loss: 0.0997 | Train: 99.9% | Test: 97.3% | Best: 99.3%
Ep 131/200 | Loss: 0.0061 | Test Loss: 0.0650 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 132/200 | Loss: 0.0054 | Test Loss: 0.0317 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 133/200 | Loss: 0.0058 | Test Loss: 0.0389 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 134/200 | Loss: 0.0057 | Test Loss: 0.0369 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 135/200 | Loss: 0.0061 | Test Loss: 0.0513 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 136/200 | Loss: 0.0058 | Test Loss: 0.0476 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 137/200 | Loss: 0.0067 | Test Loss: 0.0409 | Train: 99.8% | Test: 99.0% | Best: 99.3%
Ep 138/200 | Loss: 0.0062 | Test Loss: 0.0315 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 139/200 | Loss: 0.0052 | Test Loss: 0.0587 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 140/200 | Loss: 0.0068 | Test Loss: 0.0467 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 141/200 | Loss: 0.0057 | Test Loss: 0.0370 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 142/200 | Loss: 0.0067 | Test Loss: 0.0391 | Train: 99.8% | Test: 99.0% | Best: 99.3%
Ep 143/200 | Loss: 0.0057 | Test Loss: 0.0365 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 144/200 | Loss: 0.0062 | Test Loss: 0.0540 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 145/200 | Loss: 0.0070 | Test Loss: 0.0338 | Train: 99.8% | Test: 99.2% | Best: 99.3%
Ep 146/200 | Loss: 0.0067 | Test Loss: 0.0273 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 147/200 | Loss: 0.0073 | Test Loss: 0.0381 | Train: 99.8% | Test: 99.0% | Best: 99.3%
Ep 148/200 | Loss: 0.0070 | Test Loss: 0.0397 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 149/200 | Loss: 0.0056 | Test Loss: 0.0469 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 150/200 | Loss: 0.0072 | Test Loss: 0.0900 | Train: 99.8% | Test: 98.0% | Best: 99.3%
Ep 151/200 | Loss: 0.0069 | Test Loss: 0.0416 | Train: 99.8% | Test: 98.9% | Best: 99.3%
Ep 152/200 | Loss: 0.0048 | Test Loss: 0.0444 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 153/200 | Loss: 0.0054 | Test Loss: 0.0502 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 154/200 | Loss: 0.0048 | Test Loss: 0.0348 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 155/200 | Loss: 0.0060 | Test Loss: 0.0412 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 156/200 | Loss: 0.0066 | Test Loss: 0.0478 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 157/200 | Loss: 0.0065 | Test Loss: 0.0356 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 158/200 | Loss: 0.0059 | Test Loss: 0.0709 | Train: 99.9% | Test: 98.3% | Best: 99.3%
Ep 159/200 | Loss: 0.0073 | Test Loss: 0.0434 | Train: 99.8% | Test: 99.0% | Best: 99.3%
Ep 160/200 | Loss: 0.0060 | Test Loss: 0.0431 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 161/200 | Loss: 0.0066 | Test Loss: 0.0688 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 162/200 | Loss: 0.0065 | Test Loss: 0.0492 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 163/200 | Loss: 0.0060 | Test Loss: 0.0541 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 164/200 | Loss: 0.0045 | Test Loss: 0.0681 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 165/200 | Loss: 0.0065 | Test Loss: 0.0529 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 166/200 | Loss: 0.0062 | Test Loss: 0.0652 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 167/200 | Loss: 0.0064 | Test Loss: 0.0358 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 168/200 | Loss: 0.0062 | Test Loss: 0.0392 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 169/200 | Loss: 0.0043 | Test Loss: 0.0418 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 170/200 | Loss: 0.0066 | Test Loss: 0.0574 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 171/200 | Loss: 0.0054 | Test Loss: 0.0378 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 172/200 | Loss: 0.0058 | Test Loss: 0.0541 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 173/200 | Loss: 0.0066 | Test Loss: 0.0337 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 174/200 | Loss: 0.0053 | Test Loss: 0.0636 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 175/200 | Loss: 0.0053 | Test Loss: 0.0647 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 176/200 | Loss: 0.0072 | Test Loss: 0.0510 | Train: 99.8% | Test: 98.8% | Best: 99.3%
Ep 177/200 | Loss: 0.0054 | Test Loss: 0.0440 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 178/200 | Loss: 0.0055 | Test Loss: 0.0417 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 179/200 | Loss: 0.0053 | Test Loss: 0.0467 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 180/200 | Loss: 0.0071 | Test Loss: 0.0393 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 181/200 | Loss: 0.0067 | Test Loss: 0.0438 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 182/200 | Loss: 0.0064 | Test Loss: 0.0510 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 183/200 | Loss: 0.0051 | Test Loss: 0.0453 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 184/200 | Loss: 0.0059 | Test Loss: 0.0528 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 185/200 | Loss: 0.0063 | Test Loss: 0.0476 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 186/200 | Loss: 0.0062 | Test Loss: 0.0459 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 187/200 | Loss: 0.0064 | Test Loss: 0.0613 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 188/200 | Loss: 0.0064 | Test Loss: 0.0559 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 189/200 | Loss: 0.0055 | Test Loss: 0.0456 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 190/200 | Loss: 0.0055 | Test Loss: 0.0674 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 191/200 | Loss: 0.0065 | Test Loss: 0.0567 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 192/200 | Loss: 0.0047 | Test Loss: 0.0406 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 193/200 | Loss: 0.0064 | Test Loss: 0.0876 | Train: 99.9% | Test: 98.0% | Best: 99.3%
Ep 194/200 | Loss: 0.0070 | Test Loss: 0.0563 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 195/200 | Loss: 0.0059 | Test Loss: 0.0431 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 196/200 | Loss: 0.0046 | Test Loss: 0.0426 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 197/200 | Loss: 0.0062 | Test Loss: 0.0382 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 198/200 | Loss: 0.0048 | Test Loss: 0.0535 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 199/200 | Loss: 0.0058 | Test Loss: 0.0354 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 200/200 | Loss: 0.0048 | Test Loss: 0.1698 | Train: 99.9% | Test: 96.7% | Best: 99.3%

============================================================
Training completed!
Total training time: 5269.93s (87.83m)
Best test accuracy: 99.34%
Model saved to: ./best.pt
Log saved to: .\logs\train_cmnist_mlp_h2048_e200_20260202_172005.txt
============================================================
