============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_mlp_h2048_e200_20260202_115607.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: MLP | Params: 12,244,042

Ep 1/200 | Loss: 1.7204 | Test Loss: 1.5734 | Train: 35.7% | Test: 42.9% | Best: 42.9%
Ep 42/200 | Loss: 0.1764 | Test Loss: 0.3970 | Train: 94.0% | Test: 87.3% | Best: 87.3%
Ep 43/200 | Loss: 0.1734 | Test Loss: 0.4094 | Train: 94.0% | Test: 87.1% | Best: 87.3%
Ep 44/200 | Loss: 0.1657 | Test Loss: 0.4249 | Train: 94.3% | Test: 86.5% | Best: 87.3%
Ep 45/200 | Loss: 0.1619 | Test Loss: 0.4098 | Train: 94.4% | Test: 87.5% | Best: 87.5%
Ep 46/200 | Loss: 0.1553 | Test Loss: 0.4683 | Train: 94.7% | Test: 85.8% | Best: 87.5%
Ep 47/200 | Loss: 0.1549 | Test Loss: 0.4271 | Train: 94.7% | Test: 86.6% | Best: 87.5%
Ep 48/200 | Loss: 0.1518 | Test Loss: 0.4064 | Train: 94.8% | Test: 87.3% | Best: 87.5%
Ep 49/200 | Loss: 0.1450 | Test Loss: 0.4421 | Train: 95.0% | Test: 86.4% | Best: 87.5%
Ep 50/200 | Loss: 0.1416 | Test Loss: 0.4154 | Train: 95.2% | Test: 87.3% | Best: 87.5%
Ep 51/200 | Loss: 0.1375 | Test Loss: 0.4161 | Train: 95.3% | Test: 87.3% | Best: 87.5%
Ep 52/200 | Loss: 0.1328 | Test Loss: 0.3641 | Train: 95.4% | Test: 88.4% | Best: 88.4%
Ep 53/200 | Loss: 0.1337 | Test Loss: 0.4806 | Train: 95.3% | Test: 85.3% | Best: 88.4%
Ep 54/200 | Loss: 0.1287 | Test Loss: 0.3825 | Train: 95.7% | Test: 88.2% | Best: 88.4%
Ep 55/200 | Loss: 0.1234 | Test Loss: 0.4133 | Train: 95.8% | Test: 87.5% | Best: 88.4%
Ep 56/200 | Loss: 0.1238 | Test Loss: 0.4047 | Train: 95.8% | Test: 87.6% | Best: 88.4%
Ep 57/200 | Loss: 0.1194 | Test Loss: 0.4261 | Train: 96.1% | Test: 87.2% | Best: 88.4%
Ep 58/200 | Loss: 0.1152 | Test Loss: 0.3962 | Train: 96.1% | Test: 87.6% | Best: 88.4%
Ep 59/200 | Loss: 0.1167 | Test Loss: 0.4064 | Train: 96.1% | Test: 87.6% | Best: 88.4%
Ep 60/200 | Loss: 0.1158 | Test Loss: 0.3610 | Train: 96.1% | Test: 89.0% | Best: 89.0%
Ep 61/200 | Loss: 0.1094 | Test Loss: 0.3883 | Train: 96.4% | Test: 88.3% | Best: 89.0%
Ep 62/200 | Loss: 0.1092 | Test Loss: 0.3851 | Train: 96.4% | Test: 88.3% | Best: 89.0%
Ep 63/200 | Loss: 0.1050 | Test Loss: 0.3856 | Train: 96.5% | Test: 88.0% | Best: 89.0%
Ep 64/200 | Loss: 0.1054 | Test Loss: 0.4051 | Train: 96.5% | Test: 87.8% | Best: 89.0%
Ep 65/200 | Loss: 0.1022 | Test Loss: 0.3758 | Train: 96.5% | Test: 88.4% | Best: 89.0%
Ep 66/200 | Loss: 0.1023 | Test Loss: 0.4079 | Train: 96.5% | Test: 87.8% | Best: 89.0%
Ep 67/200 | Loss: 0.1005 | Test Loss: 0.3645 | Train: 96.7% | Test: 89.0% | Best: 89.0%
Ep 68/200 | Loss: 0.0967 | Test Loss: 0.4146 | Train: 96.8% | Test: 87.9% | Best: 89.0%
Ep 69/200 | Loss: 0.0973 | Test Loss: 0.4276 | Train: 96.8% | Test: 87.2% | Best: 89.0%
Ep 70/200 | Loss: 0.0961 | Test Loss: 0.3909 | Train: 96.9% | Test: 88.5% | Best: 89.0%
Ep 71/200 | Loss: 0.0944 | Test Loss: 0.3799 | Train: 96.9% | Test: 88.6% | Best: 89.0%
Ep 72/200 | Loss: 0.0888 | Test Loss: 0.3640 | Train: 97.1% | Test: 89.2% | Best: 89.2%
Ep 73/200 | Loss: 0.0873 | Test Loss: 0.3789 | Train: 97.2% | Test: 89.1% | Best: 89.2%
Ep 74/200 | Loss: 0.0909 | Test Loss: 0.3933 | Train: 97.0% | Test: 88.1% | Best: 89.2%
Ep 75/200 | Loss: 0.0874 | Test Loss: 0.3887 | Train: 97.2% | Test: 89.1% | Best: 89.2%
Ep 76/200 | Loss: 0.0874 | Test Loss: 0.3506 | Train: 97.1% | Test: 89.4% | Best: 89.4%
Ep 77/200 | Loss: 0.0859 | Test Loss: 0.4508 | Train: 97.2% | Test: 87.8% | Best: 89.4%
Ep 78/200 | Loss: 0.0850 | Test Loss: 0.4008 | Train: 97.3% | Test: 88.8% | Best: 89.4%
Ep 79/200 | Loss: 0.0856 | Test Loss: 0.3797 | Train: 97.2% | Test: 88.8% | Best: 89.4%
Ep 80/200 | Loss: 0.0841 | Test Loss: 0.3520 | Train: 97.3% | Test: 89.7% | Best: 89.7%
Ep 81/200 | Loss: 0.0827 | Test Loss: 0.4363 | Train: 97.3% | Test: 87.5% | Best: 89.7%
Ep 82/200 | Loss: 0.0812 | Test Loss: 0.3447 | Train: 97.5% | Test: 89.8% | Best: 89.8%
Ep 83/200 | Loss: 0.0797 | Test Loss: 0.3454 | Train: 97.5% | Test: 89.8% | Best: 89.8%
Ep 84/200 | Loss: 0.0826 | Test Loss: 0.3542 | Train: 97.4% | Test: 89.6% | Best: 89.8%
Ep 85/200 | Loss: 0.0765 | Test Loss: 0.3601 | Train: 97.6% | Test: 89.3% | Best: 89.8%
Ep 86/200 | Loss: 0.0798 | Test Loss: 0.3440 | Train: 97.4% | Test: 89.5% | Best: 89.8%
Ep 87/200 | Loss: 0.0782 | Test Loss: 0.3894 | Train: 97.5% | Test: 89.1% | Best: 89.8%
Ep 88/200 | Loss: 0.0772 | Test Loss: 0.3226 | Train: 97.5% | Test: 90.3% | Best: 90.3%
Ep 89/200 | Loss: 0.0780 | Test Loss: 0.3302 | Train: 97.6% | Test: 90.3% | Best: 90.3%
Ep 90/200 | Loss: 0.0748 | Test Loss: 0.3558 | Train: 97.6% | Test: 89.5% | Best: 90.3%
Ep 91/200 | Loss: 0.0757 | Test Loss: 0.3399 | Train: 97.6% | Test: 90.0% | Best: 90.3%
Ep 92/200 | Loss: 0.0757 | Test Loss: 0.3380 | Train: 97.6% | Test: 89.7% | Best: 90.3%
Ep 93/200 | Loss: 0.0743 | Test Loss: 0.3458 | Train: 97.8% | Test: 89.9% | Best: 90.3%
Ep 94/200 | Loss: 0.0738 | Test Loss: 0.3346 | Train: 97.8% | Test: 90.2% | Best: 90.3%
Ep 95/200 | Loss: 0.0742 | Test Loss: 0.3755 | Train: 97.7% | Test: 89.3% | Best: 90.3%
Ep 96/200 | Loss: 0.0737 | Test Loss: 0.3723 | Train: 97.7% | Test: 89.4% | Best: 90.3%
Ep 97/200 | Loss: 0.0730 | Test Loss: 0.3493 | Train: 97.8% | Test: 90.0% | Best: 90.3%
Ep 98/200 | Loss: 0.0725 | Test Loss: 0.3582 | Train: 97.8% | Test: 89.6% | Best: 90.3%
Ep 99/200 | Loss: 0.0720 | Test Loss: 0.3357 | Train: 97.8% | Test: 90.3% | Best: 90.3%
Ep 100/200 | Loss: 0.0725 | Test Loss: 0.3356 | Train: 97.8% | Test: 90.2% | Best: 90.3%
Ep 101/200 | Loss: 0.0723 | Test Loss: 0.3242 | Train: 97.7% | Test: 90.0% | Best: 90.3%
Ep 102/200 | Loss: 0.0741 | Test Loss: 0.3373 | Train: 97.7% | Test: 90.3% | Best: 90.3%
Ep 103/200 | Loss: 0.0719 | Test Loss: 0.3648 | Train: 97.8% | Test: 89.5% | Best: 90.3%
Ep 104/200 | Loss: 0.0712 | Test Loss: 0.3696 | Train: 97.9% | Test: 89.5% | Best: 90.3%
Ep 105/200 | Loss: 0.0722 | Test Loss: 0.3212 | Train: 97.8% | Test: 90.9% | Best: 90.9%
Ep 106/200 | Loss: 0.0701 | Test Loss: 0.3497 | Train: 97.9% | Test: 90.1% | Best: 90.9%
Ep 107/200 | Loss: 0.0721 | Test Loss: 0.3267 | Train: 97.8% | Test: 90.5% | Best: 90.9%
Ep 108/200 | Loss: 0.0697 | Test Loss: 0.3065 | Train: 97.9% | Test: 91.0% | Best: 91.0%
Ep 109/200 | Loss: 0.0708 | Test Loss: 0.3465 | Train: 97.9% | Test: 90.2% | Best: 91.0%
Ep 110/200 | Loss: 0.0694 | Test Loss: 0.3410 | Train: 97.9% | Test: 90.2% | Best: 91.0%
Ep 111/200 | Loss: 0.0713 | Test Loss: 0.3063 | Train: 97.8% | Test: 91.2% | Best: 91.2%
Ep 112/200 | Loss: 0.0673 | Test Loss: 0.3605 | Train: 98.0% | Test: 89.7% | Best: 91.2%
Ep 113/200 | Loss: 0.0713 | Test Loss: 0.3439 | Train: 97.9% | Test: 90.1% | Best: 91.2%
Ep 114/200 | Loss: 0.0692 | Test Loss: 0.3243 | Train: 97.9% | Test: 90.5% | Best: 91.2%
Ep 115/200 | Loss: 0.0691 | Test Loss: 0.3597 | Train: 97.9% | Test: 89.5% | Best: 91.2%
Ep 116/200 | Loss: 0.0677 | Test Loss: 0.3924 | Train: 98.0% | Test: 88.9% | Best: 91.2%
Ep 117/200 | Loss: 0.0710 | Test Loss: 0.3244 | Train: 97.8% | Test: 91.0% | Best: 91.2%
Ep 118/200 | Loss: 0.0646 | Test Loss: 0.3350 | Train: 98.1% | Test: 90.6% | Best: 91.2%
Ep 119/200 | Loss: 0.0702 | Test Loss: 0.3327 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 120/200 | Loss: 0.0685 | Test Loss: 0.3410 | Train: 97.9% | Test: 90.5% | Best: 91.2%
Ep 121/200 | Loss: 0.0695 | Test Loss: 0.3339 | Train: 97.9% | Test: 90.6% | Best: 91.2%
Ep 122/200 | Loss: 0.0702 | Test Loss: 0.3408 | Train: 97.9% | Test: 90.7% | Best: 91.2%
Ep 123/200 | Loss: 0.0700 | Test Loss: 0.3264 | Train: 97.9% | Test: 90.6% | Best: 91.2%
Ep 124/200 | Loss: 0.0687 | Test Loss: 0.3353 | Train: 98.0% | Test: 90.4% | Best: 91.2%
Ep 125/200 | Loss: 0.0697 | Test Loss: 0.3154 | Train: 98.0% | Test: 91.1% | Best: 91.2%
Ep 126/200 | Loss: 0.0696 | Test Loss: 0.3651 | Train: 97.9% | Test: 89.5% | Best: 91.2%
Ep 127/200 | Loss: 0.0708 | Test Loss: 0.3466 | Train: 98.0% | Test: 90.2% | Best: 91.2%
Ep 128/200 | Loss: 0.0681 | Test Loss: 0.3952 | Train: 98.1% | Test: 88.9% | Best: 91.2%
Ep 129/200 | Loss: 0.0691 | Test Loss: 0.3094 | Train: 98.0% | Test: 91.1% | Best: 91.2%
Ep 130/200 | Loss: 0.0672 | Test Loss: 0.3342 | Train: 98.1% | Test: 90.8% | Best: 91.2%
Ep 131/200 | Loss: 0.0678 | Test Loss: 0.3288 | Train: 98.1% | Test: 90.9% | Best: 91.2%
Ep 132/200 | Loss: 0.0711 | Test Loss: 0.3388 | Train: 98.0% | Test: 90.4% | Best: 91.2%
Ep 133/200 | Loss: 0.0669 | Test Loss: 0.3841 | Train: 98.1% | Test: 89.4% | Best: 91.2%
Ep 134/200 | Loss: 0.0702 | Test Loss: 0.3327 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 135/200 | Loss: 0.0697 | Test Loss: 0.3281 | Train: 98.1% | Test: 90.9% | Best: 91.2%
Ep 136/200 | Loss: 0.0675 | Test Loss: 0.3172 | Train: 98.1% | Test: 91.2% | Best: 91.2%
Ep 137/200 | Loss: 0.0674 | Test Loss: 0.3192 | Train: 98.1% | Test: 91.2% | Best: 91.2%
Ep 138/200 | Loss: 0.0694 | Test Loss: 0.3143 | Train: 97.9% | Test: 91.6% | Best: 91.6%
Ep 139/200 | Loss: 0.0697 | Test Loss: 0.3333 | Train: 98.0% | Test: 90.9% | Best: 91.6%
Ep 140/200 | Loss: 0.0676 | Test Loss: 0.3358 | Train: 98.1% | Test: 90.7% | Best: 91.6%
Ep 141/200 | Loss: 0.0688 | Test Loss: 0.3292 | Train: 98.0% | Test: 91.2% | Best: 91.6%
Ep 142/200 | Loss: 0.0669 | Test Loss: 0.3072 | Train: 98.1% | Test: 91.5% | Best: 91.6%
Ep 143/200 | Loss: 0.0673 | Test Loss: 0.3406 | Train: 98.1% | Test: 90.7% | Best: 91.6%
Ep 144/200 | Loss: 0.0686 | Test Loss: 0.3587 | Train: 98.0% | Test: 90.0% | Best: 91.6%
Ep 145/200 | Loss: 0.0687 | Test Loss: 0.3457 | Train: 98.1% | Test: 90.5% | Best: 91.6%
Ep 146/200 | Loss: 0.0674 | Test Loss: 0.3694 | Train: 98.1% | Test: 89.9% | Best: 91.6%
Ep 147/200 | Loss: 0.0687 | Test Loss: 0.3280 | Train: 98.1% | Test: 91.2% | Best: 91.6%
Ep 148/200 | Loss: 0.0681 | Test Loss: 0.3192 | Train: 98.1% | Test: 91.2% | Best: 91.6%
Ep 149/200 | Loss: 0.0684 | Test Loss: 0.3081 | Train: 98.0% | Test: 91.7% | Best: 91.7%
Ep 150/200 | Loss: 0.0681 | Test Loss: 0.3311 | Train: 98.1% | Test: 90.9% | Best: 91.7%
Ep 151/200 | Loss: 0.0676 | Test Loss: 0.3894 | Train: 98.1% | Test: 89.3% | Best: 91.7%
Ep 152/200 | Loss: 0.0693 | Test Loss: 0.3289 | Train: 98.0% | Test: 91.1% | Best: 91.7%
Ep 153/200 | Loss: 0.0667 | Test Loss: 0.3167 | Train: 98.2% | Test: 91.5% | Best: 91.7%
Ep 154/200 | Loss: 0.0694 | Test Loss: 0.3092 | Train: 98.1% | Test: 91.3% | Best: 91.7%
Ep 155/200 | Loss: 0.0676 | Test Loss: 0.3363 | Train: 98.1% | Test: 90.6% | Best: 91.7%
Ep 156/200 | Loss: 0.0718 | Test Loss: 0.4045 | Train: 97.9% | Test: 88.8% | Best: 91.7%
Ep 157/200 | Loss: 0.0687 | Test Loss: 0.3293 | Train: 98.1% | Test: 91.3% | Best: 91.7%
Ep 158/200 | Loss: 0.0655 | Test Loss: 0.3340 | Train: 98.2% | Test: 91.0% | Best: 91.7%
Ep 159/200 | Loss: 0.0709 | Test Loss: 0.3387 | Train: 98.0% | Test: 90.8% | Best: 91.7%
Ep 160/200 | Loss: 0.0700 | Test Loss: 0.3634 | Train: 98.1% | Test: 90.0% | Best: 91.7%
Ep 161/200 | Loss: 0.0664 | Test Loss: 0.3118 | Train: 98.2% | Test: 91.4% | Best: 91.7%
Ep 162/200 | Loss: 0.0672 | Test Loss: 0.3156 | Train: 98.2% | Test: 91.3% | Best: 91.7%
Ep 163/200 | Loss: 0.0672 | Test Loss: 0.3271 | Train: 98.1% | Test: 90.9% | Best: 91.7%
Ep 164/200 | Loss: 0.0660 | Test Loss: 0.3255 | Train: 98.2% | Test: 90.9% | Best: 91.7%
Ep 165/200 | Loss: 0.0698 | Test Loss: 0.3441 | Train: 98.1% | Test: 90.5% | Best: 91.7%
Ep 166/200 | Loss: 0.0670 | Test Loss: 0.3027 | Train: 98.1% | Test: 91.7% | Best: 91.7%
Ep 167/200 | Loss: 0.0679 | Test Loss: 0.3209 | Train: 98.0% | Test: 91.4% | Best: 91.7%
Ep 168/200 | Loss: 0.0647 | Test Loss: 0.3472 | Train: 98.2% | Test: 90.5% | Best: 91.7%
Ep 169/200 | Loss: 0.0689 | Test Loss: 0.3289 | Train: 98.1% | Test: 91.1% | Best: 91.7%
Ep 170/200 | Loss: 0.0667 | Test Loss: 0.3105 | Train: 98.2% | Test: 91.7% | Best: 91.7%
Ep 171/200 | Loss: 0.0667 | Test Loss: 0.3128 | Train: 98.2% | Test: 91.6% | Best: 91.7%
Ep 172/200 | Loss: 0.0669 | Test Loss: 0.3298 | Train: 98.2% | Test: 90.8% | Best: 91.7%
Ep 173/200 | Loss: 0.0692 | Test Loss: 0.3127 | Train: 98.1% | Test: 91.6% | Best: 91.7%
Ep 174/200 | Loss: 0.0675 | Test Loss: 0.3204 | Train: 98.1% | Test: 90.9% | Best: 91.7%
Ep 175/200 | Loss: 0.0646 | Test Loss: 0.3264 | Train: 98.3% | Test: 91.4% | Best: 91.7%
Ep 176/200 | Loss: 0.0704 | Test Loss: 0.3260 | Train: 98.1% | Test: 91.3% | Best: 91.7%
Ep 177/200 | Loss: 0.0655 | Test Loss: 0.3354 | Train: 98.2% | Test: 90.9% | Best: 91.7%
Ep 178/200 | Loss: 0.0672 | Test Loss: 0.3574 | Train: 98.1% | Test: 90.5% | Best: 91.7%
Ep 179/200 | Loss: 0.0683 | Test Loss: 0.3176 | Train: 98.1% | Test: 91.2% | Best: 91.7%
Ep 180/200 | Loss: 0.0636 | Test Loss: 0.3670 | Train: 98.3% | Test: 90.6% | Best: 91.7%
Ep 181/200 | Loss: 0.0647 | Test Loss: 0.3571 | Train: 98.2% | Test: 90.3% | Best: 91.7%
Ep 182/200 | Loss: 0.0697 | Test Loss: 0.3123 | Train: 98.0% | Test: 91.2% | Best: 91.7%
Ep 183/200 | Loss: 0.0680 | Test Loss: 0.3094 | Train: 98.1% | Test: 91.5% | Best: 91.7%
Ep 184/200 | Loss: 0.0652 | Test Loss: 0.3307 | Train: 98.2% | Test: 91.1% | Best: 91.7%
Ep 185/200 | Loss: 0.0635 | Test Loss: 0.3034 | Train: 98.3% | Test: 91.8% | Best: 91.8%
Ep 186/200 | Loss: 0.0653 | Test Loss: 0.3060 | Train: 98.2% | Test: 91.8% | Best: 91.8%
Ep 187/200 | Loss: 0.0651 | Test Loss: 0.3271 | Train: 98.2% | Test: 91.3% | Best: 91.8%
Ep 188/200 | Loss: 0.0661 | Test Loss: 0.3387 | Train: 98.2% | Test: 90.6% | Best: 91.8%
Ep 189/200 | Loss: 0.0666 | Test Loss: 0.3260 | Train: 98.2% | Test: 91.0% | Best: 91.8%
Ep 190/200 | Loss: 0.0640 | Test Loss: 0.3440 | Train: 98.2% | Test: 90.7% | Best: 91.8%
Ep 191/200 | Loss: 0.0621 | Test Loss: 0.3317 | Train: 98.3% | Test: 90.9% | Best: 91.8%
Ep 192/200 | Loss: 0.0647 | Test Loss: 0.3625 | Train: 98.2% | Test: 90.0% | Best: 91.8%
Ep 193/200 | Loss: 0.0642 | Test Loss: 0.3180 | Train: 98.2% | Test: 91.3% | Best: 91.8%
Ep 194/200 | Loss: 0.0624 | Test Loss: 0.3370 | Train: 98.3% | Test: 90.9% | Best: 91.8%
Ep 195/200 | Loss: 0.0637 | Test Loss: 0.3396 | Train: 98.3% | Test: 90.6% | Best: 91.8%
Ep 196/200 | Loss: 0.0650 | Test Loss: 0.3169 | Train: 98.2% | Test: 91.2% | Best: 91.8%
Ep 197/200 | Loss: 0.0642 | Test Loss: 0.3207 | Train: 98.3% | Test: 91.4% | Best: 91.8%
Ep 198/200 | Loss: 0.0643 | Test Loss: 0.3101 | Train: 98.2% | Test: 91.5% | Best: 91.8%
Ep 199/200 | Loss: 0.0644 | Test Loss: 0.3618 | Train: 98.2% | Test: 90.2% | Best: 91.8%
Ep 200/200 | Loss: 0.0620 | Test Loss: 0.3687 | Train: 98.3% | Test: 90.3% | Best: 91.8%

============================================================
Training completed!
Total training time: 3958.01s (65.97m)
Best test accuracy: 91.84%
Model saved to: ./best.pt
Log saved to: .\logs\train_cifar10_mlp_h2048_e200_20260202_115607.txt
============================================================
